
### Request header
###	request=datos
###	timeStart=2026-01-20
###	timeEnd=2026-05-05
###	seriesId=39718
###	siteCode=7396
###	varId=2
###	format=csv
### Response header
###	responseTimestamp=2026-05-04T10:23:56
###	sitecode=7396
###	seriesid=39718
###	seriesId=39718
###	seriesmetadata=procId:1,varId:2,var_abrev:altura,unit_abrev:m,seriesId:39718,unitId:11,proc_abrev:medicion
###	sitemetadata=geom:coordinates:-62.10138889,-38.89583333,type:Point,estacion_abrev:null,redId:23,siteCode:7396,red_name:Mareógrafos SHN
###	timeStart=20260120T000000
###	request=datos
###	timeEnd=20260505T000000
###	queryUrl=request=datos&timeStart=2026-01-20&timeEnd=2026-05-05&seriesId=39718&siteCode=7396&varId=2&format=csv
###	creationTime=2026-05-04T10:23:56-03:00

### obs_id,timestart,timeend,valor,timeupdate
27316755890,2026-03-18 12:45:00,2026-03-18 12:45:00,0.63,2026-03-18 14:00:17.723904
27317129936,2026-03-18 13:45:00,2026-03-18 13:45:00,1.3,2026-03-18 15:00:17.291941
27317503991,2026-03-18 14:45:00,2026-03-18 14:45:00,2.12,2026-03-18 16:00:17.173876
27317876918,2026-03-18 15:45:00,2026-03-18 15:45:00,2.91,2026-03-18 17:00:17.191003
27318256265,2026-03-18 16:45:00,2026-03-18 16:45:00,3.54,2026-03-18 18:00:18.297873
27318636229,2026-03-18 17:45:00,2026-03-18 17:45:00,3.82,2026-03-18 19:00:17.222706
27319009913,2026-03-18 18:45:00,2026-03-18 18:45:00,3.87,2026-03-18 20:00:17.303501
27319382636,2026-03-18 19:45:00,2026-03-18 19:45:00,3.71,2026-03-18 21:00:16.658602
27319755347,2026-03-18 20:45:00,2026-03-18 20:45:00,3.33,2026-03-18 22:00:16.870096
27320128443,2026-03-18 21:45:00,2026-03-18 21:45:00,2.68,2026-03-18 23:00:18.148261
27320505812,2026-03-18 22:45:00,2026-03-18 22:45:00,1.86,2026-03-19 00:00:19.156602
27320657543,2026-03-18 23:45:00,2026-03-18 23:45:00,1.13,2026-03-19 01:01:03.721391
27321264898,2026-03-19 00:45:00,2026-03-19 00:45:00,0.74,2026-03-19 02:00:24.507934
27321639363,2026-03-19 01:45:00,2026-03-19 01:45:00,1.01,2026-03-19 03:00:51.506205
27322014688,2026-03-19 02:45:00,2026-03-19 02:45:00,1.66,2026-03-19 04:00:23.371592
27322389119,2026-03-19 03:45:00,2026-03-19 03:45:00,2.44,2026-03-19 05:00:24.222514
27322769150,2026-03-19 04:45:00,2026-03-19 04:45:00,3.18,2026-03-19 06:00:25.50026
